E	pcent	pcent01	pcent02	pcent03	pcent04	pcent05	pcent06	pcent07	pcent08	pcent09	pcent10	pcent11	pcent12	Sgeo
0.01	81.3273070793284	68.0688918008388	71.0886723593611	77.0885901255346	83.3863609067722	86.9705698946114	89.043638615952	90.5383461140303	90.9442226381594	89.6276475734055	85.461788912268	76.2400533770392	67.5409358005639	72356.41
0.010898	80.863971838967	67.5112201448105	70.5683956055783	76.6001839827023	83.025686562339	86.6090820917721	88.6852148913898	90.1969573610446	90.5831822294375	89.2380162039933	85.0214001998293	75.5927422090847	66.8098249591233	72356.41
0.011878	80.3897550365348	66.9236111561501	70.0555271801576	76.0977335078478	82.6554072482452	86.239650933038	88.3162181937729	89.8422380190016	90.2191072838504	88.8404500228323	84.5751431447987	74.9311669251243	66.0573387237372	72356.41
0.012945	79.9071551684576	66.3231794304863	69.541845160692	75.5874045612433	82.2834292025706	85.8703931507059	87.9489743258943	89.4881087305079	89.8562467168967	88.4350153980343	84.1175810829765	74.2385013508661	65.2742349434127	72356.41
0.014108	79.4128658590555	65.7043356591571	69.0181726256748	75.0678129827422	81.8992323573314	85.4980285421278	87.576124930095	89.1334202605718	89.4893633797813	88.027268492762	83.6527122779678	73.5120285510991	64.457635168228	72356.41
0.015375	78.9082781390842	65.0767499745702	68.4772620624951	74.5389251597124	81.5050715866424	85.1284238268756	87.1942653851716	88.7690680685396	89.1158193291202	87.6142135939416	83.1785468269699	72.7525441892564	63.6329774593252	72356.41
0.016756	78.3923405359925	64.4368873494711	67.9246468450213	74.0207718954901	81.0968913092134	84.7528061824911	86.8098001605735	88.3931973702213	88.7383765861546	87.1933338250012	82.6869079613306	71.95876608898	62.7832154244246	72356.41
0.018262	77.8641348063711	63.7890027581154	67.3534116001305	73.498360745433	80.6743473340548	84.3728377028049	86.4156039485269	88.0168547982441	88.3546423367803	86.7620363729045	82.1875314548779	71.133199175856	61.9024257832141	72356.41
0.019902	77.3261770793513	63.1475224434765	66.7689210978461	72.9755094780399	80.2322890132944	83.9817601516924	86.0202677549553	87.6338473680107	87.9633176212509	86.3257150436576	81.674592271037	70.2754923841513	61.0087074861425	72356.41
0.021691	76.776011068991	62.505774186802	66.1847200697821	72.4506754799103	79.7674642503227	83.5886025440529	85.6193220009969	87.2357053253338	87.5584756189453	85.8764782237692	81.1434171485706	69.3871920875852	60.0914214053491	72356.41
0.023639	76.213223146065	61.8446530906127	65.5842166503949	71.9258133623887	79.2802348802242	83.1881075577174	85.2146445495027	86.8285765955221	87.1443612697961	85.4212423078704	80.5943676561574	68.4678635347215	59.1650860884359	72356.41
0.025763	75.6366768395672	61.1666042783765	64.9774947310172	71.3914517784334	78.7791118069011	82.777737132991	84.8024579861013	86.4155077992666	86.7170438426844	84.9579917663365	80.0280624792907	67.504110988911	58.2265637607071	72356.41
0.028078	75.0473749465618	60.474271650694	64.3589707333601	70.8485801883785	78.2639192563866	82.35887421647	84.3823313701288	85.9969574756077	86.277428217141	84.4813254033155	79.4452529086503	66.504894555002	57.2833272310849	72356.41
0.0306	74.4445852712819	59.7713852109505	63.7329111273738	70.3062883732215	77.7338525265856	81.9283175703969	83.9583076121977	85.5648098505346	85.8343849988594	83.9834248191449	78.8396197751279	65.4624864633978	56.330650208759	72356.41
0.033349	73.8300186394011	59.0437505299929	63.1027331969271	69.7533045483263	77.1797649172056	81.4812679598245	83.534363577123	85.1250244995312	85.3848396750055	83.4765302349832	78.2212282349329	64.3822988357929	55.3903099501339	72356.41
0.036345	73.2028491111235	58.2982637904393	62.4587296350867	69.1834478262731	76.6107303906588	81.0169889588176	83.1026382286753	84.6773652026903	84.9299285672078	82.9594701718792	77.5815472396058	63.2765980997311	54.4574345565402	72356.41
