E	pcent	pcent01	pcent02	pcent03	pcent11	pcent12	Sgeo
0.001	19.1685707463476	17.1729771705149	15.8564705637666	16.4063513827223	30.9861884115509	21.1295955739589	146171.3
0.001115	18.6292679811369	16.7325690817912	15.4208183338669	15.9003098479398	30.080858503801	20.5410642348066	146171.3
0.001244	18.0954574517474	16.2982454424231	14.991921020742	15.3984364854204	29.18019289089	19.9575135844463	146171.3
0.001388	17.5685891742781	15.8682674539976	14.5704575442194	14.9063814603044	28.2852496369713	19.3810481055649	146171.3
0.001548	17.054276667679	15.448226406435	14.1555831429151	14.4321382160528	27.4104763709401	18.8177568416861	146171.3
0.001727	16.5437007636891	15.0259319037472	13.7458121211201	13.9639366406107	26.5382841907957	18.2619271160614	146171.3
0.001927	16.0404956421139	14.6108150648743	13.3408249537854	13.5081096101295	25.6722025269809	17.7127741377108	146171.3
0.002149	15.5488630931807	14.2038814894014	12.945711877946	13.0654646840977	24.8214913455662	17.1773803645368	146171.3
0.002397	15.0631235223647	13.8003915894892	12.5598724776339	12.6307003419381	23.9696118932813	16.6488221463154	146171.3
0.002674	14.5844026407764	13.4020965990224	12.1790134520583	12.2026914499975	23.1266340659431	16.1315537299054	146171.3
0.002983	14.1157515105618	13.0083722231144	11.8059004234208	11.7902929808971	22.3003817821818	15.6235371121263	146171.3
0.003327	13.6564688870594	12.6225401383216	11.4406225887762	11.3910719059917	21.4855450291981	15.123178711821	146171.3
0.003712	13.2058766328634	12.2433547575728	11.0811822641053	11.0017393921947	20.6806164702414	14.6360919115428	146171.3
0.00414	12.7682425749413	11.8730614900115	10.7366438934757	10.6241611912846	19.9011525032497	14.1563828446212	146171.3
0.004618	12.3399257865643	11.508413911728	10.3992686544469	10.255944936653	19.1391601052638	13.6878094979618	146171.3
0.005152	11.9174787465685	11.1467408117265	10.0695039683505	9.89843473990224	18.3808559373735	13.2222167388715	146171.3
0.005747	11.5068737811245	10.7932111108647	9.75205926604149	9.55974037439814	17.6357212693476	12.7634542199515	146171.3
0.006411	11.1060949089248	10.441066518139	9.44460656633672	9.22807832291595	16.9168725442051	12.316039236759	146171.3
0.007151	10.7154019006004	10.1011994692305	9.14528687139638	8.90423921325774	16.2144773444911	11.8767813502245	146171.3
0.007977	10.3339253747869	9.7701488943905	8.8492046547548	8.59983868424018	15.5270112404406	11.4402811612828	146171.3
0.008898	9.96540721542123	9.44626721554407	8.56645683249684	8.30674564341597	14.8591647848347	11.0204856343985	146171.3
0.009925	9.60655901000805	9.1323998286498	8.29482552491114	8.0229866675926	14.1951195270172	10.6124562036088	146171.3
0.011072	9.25627883239017	8.82292633180444	8.03129033779198	7.74715527240647	13.5457263296666	10.2152364095064	146171.3
0.01235	8.91968924396367	8.52040193624982	7.78053825765396	7.4867939965322	12.921980955529	9.8307551455857	146171.3
0.013777	8.59547507191102	8.22696806172006	7.53833565359464	7.233976401702	12.3293383694259	9.46030360770025	146171.3
0.015368	8.28201329887156	7.94228281212846	7.30644512536034	6.98695247361483	11.7558045979298	9.10333821572163	146171.3
0.017142	7.97974325487693	7.66658864666425	7.08222856231389	6.74974007547653	11.2045591876124	8.7590379840217	146171.3
0.019122	7.68985406661521	7.39900524122747	6.86810102696293	6.52056011320515	10.6782667375484	8.43168833378403	146171.3
0.021331	7.41142993064972	7.14068458757142	6.66219253917933	6.30006679926572	10.1721674484316	8.12021450376699	146171.3
0.023794	7.14486658268279	6.89346826552583	6.46558467096246	6.09220091886426	9.69113335419693	7.81481049730212	146171.3
0.026542	6.88735575329571	6.65519237918189	6.27800635026662	5.88679900796185	9.22482163673755	7.5220208032	146171.3
0.029607	6.64055470344357	6.43022478786729	6.09774712671834	5.68643377393968	8.7757030887327	7.24347268833266	146171.3
0.033026	6.40235293347711	6.21713457163966	5.92247499720076	5.48874241686269	8.34295810707869	6.97587008318271	146171.3
0.03684	6.17546158537576	6.01240773414823	5.7532985214308	5.30129825426227	7.9339978483245	6.7231577187065	146171.3
0.041095	5.95949338831737	5.81940537898973	5.58843057546199	5.12212423480582	7.55629503111529	6.47835928855161	146171.3
0.045841	5.75566121476179	5.6370852729097	5.42836048238355	4.94979020044376	7.2082396647665	6.2517195097796	146171.3
0.051135	5.56086584172462	5.46623087056778	5.27197276849339	4.78384293340149	6.88130720111764	6.03322141202753	146171.3
0.05704	5.37264292351973	5.29751152295236	5.11856660137661	4.62231113630974	6.57642505148277	5.82337499963837	146171.3
0.063628	5.19038716021749	5.13317632249605	4.9666860708097	4.46541086666541	6.28710350324243	5.62262446366944	146171.3
0.070976	5.01390197586423	4.9718631235529	4.81741007938613	4.32063617163232	6.00468879914651	5.42773475047807	146171.3
0.079172	4.84413520732736	4.81569697423171	4.6722387083251	4.18404115623672	5.73677505240375	5.23806771835086	146171.3
0.088316	4.68014640084214	4.66060397655471	4.53288354394265	4.05173562715297	5.48440360124472	5.05459573873796	146171.3
0.098515	4.51993794342594	4.50901727593315	4.39950457873197	3.92275025220779	5.23447876763782	4.87347156574174	146171.3
0.109892	4.36803287927814	4.36408618729057	4.27455417333375	3.80231606092458	4.99711237632191	4.69913481229602	146171.3
0.122583	4.22163900664938	4.22589109473244	4.15508470629901	3.68448305169608	4.76272122598484	4.53400542210095	146171.3
0.13674	4.08096013222763	4.09440832646092	4.04059546223436	3.57137112509567	4.53731440759632	4.37316903789213	146171.3
0.152532	3.94662887411081	3.97036981272504	3.93141376603495	3.46074385424648	4.32476955390045	4.21849414992467	146171.3
0.170147	3.81776247360669	3.85159344049666	3.82552452579456	3.35253515527423	4.1251383335242	4.07081055470676	146171.3
0.189797	3.69557413343665	3.74152514793037	3.72312230046533	3.24577671981075	3.94030742981736	3.93204189729748	146171.3
0.211716	3.58084263842009	3.63786626204592	3.62366516174938	3.14228894415039	3.77606113146465	3.8039585267742	146171.3
0.236166	3.4700001537566	3.53842080426728	3.52486082120277	3.04098202658549	3.62067478175609	3.68250318828824	146171.3
0.26344	3.3631928769742	3.44143051047135	3.42702943761675	2.94070310741017	3.48083907221022	3.56664828920579	146171.3
0.293864	3.26118427260298	3.34916694479423	3.33250519906427	2.84530715023414	3.34753994150051	3.45654154202167	146171.3
0.327801	3.16245498208589	3.25913151692804	3.2403539382641	2.74992553321259	3.22103991634522	3.35355373039916	146171.3
0.365658	3.06593083750379	3.17096978487073	3.1479178736193	2.65939637943738	3.09850703496715	3.25258723677917	146171.3
0.407886	2.97162672876151	3.08494633381605	3.05624202349548	2.56941494343367	2.9828064204378	3.15465713103171	146171.3
0.454991	2.87964695873522	2.99919444327102	2.96627991697122	2.48264884971272	2.87232763364217	3.05940755872184	146171.3
0.507537	2.78984148491943	2.91578700671212	2.88021104742034	2.39797650870534	2.76261657734739	2.96467089428983	146171.3
0.566151	2.70122101976354	2.83363542950723	2.79340432213249	2.31376669225871	2.65906260288796	2.87108297766483	146171.3
0.631533	2.61463040639902	2.75316458470677	2.70921947793088	2.23161385680755	2.55491056696995	2.78097888760076	146171.3
0.704467	2.52979868855747	2.67331033611474	2.62646008741285	2.14900519191372	2.45683168109409	2.69394414940248	146171.3
0.785823	2.44653009560097	2.5946555204435	2.54580437368571	2.06970302943238	2.36015344175466	2.60624443204815	146171.3
0.876575	2.36453284235409	2.51789278409837	2.46482621667716	1.99145889808352	2.26517643721483	2.52134569335939	146171.3
0.977808	2.28411876611148	2.44415426073556	2.38519326580202	1.91209580775427	2.17387517076077	2.43812643547335	146171.3
1.090732	2.20500610613776	2.36986341904841	2.30632740436509	1.83417121473733	2.08616484664998	2.35750985517578	146171.3
1.216697	2.12692071340504	2.29693637847167	2.22887901003222	1.75534202492043	1.99986305730873	2.27884562952429	146171.3
1.357209	2.04895427654629	2.22328989403188	2.15115528664254	1.67386579066517	1.91756200498355	2.20226753149259	146171.3
1.513948	1.97126416843838	2.15180045038612	2.07463153107986	1.58732429643343	1.83709769998439	2.1271844556221	146171.3
1.688789	1.89511186446792	2.07954656575797	1.99660489069767	1.50979997761485	1.75859800844455	2.05221093817007	146171.3
1.883821	1.81833811504454	2.00738650747172	1.91838221711161	1.42510307517375	1.68378138059019	1.979422228526	146171.3
2.101377	1.74080340555034	1.9326481864971	1.84093925803779	1.33952082214416	1.60809298516684	1.90608573708803	146171.3
2.344058	1.66403663516577	1.86176119713014	1.7610749388244	1.2550631551071	1.53553234048984	1.83225425760463	146171.3
2.614765	1.58519325186026	1.79052694145395	1.67915393034328	1.16372959161963	1.46360003373295	1.75764605699438	146171.3
2.916736	1.50391589265332	1.72077573366973	1.596178253593	1.05586815697119	1.39471963469654	1.68571650619772	146171.3
3.253579	1.41637034912508	1.64959465987906	1.51226038617202	0.918153407069039	1.32765037035358	1.61453485869159	146171.3
3.629324	1.31728621383743	1.57763224666278	1.41723580141919	0.735945857796556	1.26265788053055	1.54535098131019	146171.3
4.048462	1.21698563916704	1.50669901590664	1.32431660418025	0.541462231731997	1.19903926010014	1.47791663567873	146171.3
4.516005	1.11256608607246	1.4332679024425	1.21496332298805	0.359390146502944	1.13358606119747	1.40212169773367	146171.3
5.037543	1.01775875878937	1.36387757426146	1.09853048318309	0.220233663744761	1.07248564570871	1.33364649605258	146171.3
5.619312	0.929660161177853	1.28772869201198	0.964580222317118	0.147123645982438	1.01189492131012	1.26168542349548	146171.3
6.268267	0.847000503683917	1.21089301987105	0.824055855850842	0.108808256752048	0.946925153501536	1.19444211580063	146171.3
6.992167	0.752331071742421	1.12688551230134	0.646178913493509	0.0823126386248009	0.87993653884341	1.1123538396181	146171.3
7.799669	0.644717372923576	1.02937118434804	0.433137449725548	0.0614479444333399	0.804043321728701	1.0270246850962	146171.3
8.700426	0.535103678037969	0.898827087469773	0.256412458026857	0.0460561656976739	0.718805497693415	0.918372998295169	146171.3
9.705208	0.437376727371116	0.77793455819698	0.142163908968187	0.0283494848139953	0.626436998298388	0.778978602892669	146171.3
10.826029	0.345900988146345	0.603083678689038	0.0968583000041986	0.0177684758185838	0.510859122031433	0.648687862011322	146171.3
12.07629	0.239245324978875	0.379854111433486	0.0735938324251599	0.00984255948696018	0.359705607307933	0.483983059539556	146171.3
13.470939	0.159088536313692	0.228771636671222	0.059796129618731	0.00513495412389826	0.236441755896711	0.339284679809282	146171.3
15.026652	0.104829375013009	0.140455613469092	0.0463998209227974	0.00176993927887529	0.159356726854598	0.225326423805235	146171.3
16.762028	0.0697650035539815	0.0839828274089751	0.0329294745027009	0.000569564135117569	0.109778601768278	0.156834962429683	146171.3
18.697817	0.0486396535124565	0.0645215886749863	0.0224109968184372	0.000204308167854535	0.07854523978208	0.101372120056651	146171.3
20.857164	0.0352111789012403	0.0497938847513977	0.0130991504086596	8.36534823734019e-05	0.0589167112198723	0.0727281131034954	146171.3
23.265886	0.025643020697855	0.0381075227268126	0.00747150861462717	4.45572877839443e-05	0.039814029739435	0.0560212334852704	146171.3
25.952783	0.0172519001827221	0.0266121342795905	0.003194196046105	2.25001458213571e-05	0.0235375405827791	0.0415951396298364	146171.3
28.949981	0.0104153124682173	0.0159220705343788	0.00103310657055642	0	0.0128692380925228	0.0276337777428812	146171.3
32.293315	0.0056136791767378	0.00800391944770882	1.79120968714484e-05	0	0.00626398911669893	0.0169237822981096	146171.3
36.022759	0.00249990710366784	0.00284132379253432	6.00324301121106e-06	0	0.00283407273751056	0.00841963424510123	146171.3
40.182904	0.000947771679593073	0.000690630379136491	0	0	0.000620956215873487	0.00401663807804988	146171.3
44.823489	0.000350504036112174	4.50991573095451e-05	0	0	0.000114641430586567	0.00183541817992622	146171.3
50	9.20487272038466e-05	0	0	0	2.49424917975816e-05	0.000500760699349051	146171.3
