E	pcent	pcent01	pcent02	pcent03	pcent04	pcent05	pcent06	pcent07	pcent08	pcent09	pcent10	pcent11	pcent12	Sgeo
0.001	69.5496463757523	71.6088296030763	68.8594374144748	68.8974937576884	67.7063781768648	68.7987576094079	70.9371369313167	70.5391879238455	69.19182366031	68.0491623240475	66.9164494813966	71.4189288566947	73.1280961648787	19080010
0.001115	69.0786157676801	71.120381281289	68.3415934798692	68.4091276097084	67.2724769951239	68.3391800195197	70.474220692076	70.0706022079567	68.7251419184356	67.590732076669	66.4309257263066	70.9547385056075	72.6645749605569	19080010
0.001244	68.5994274701616	70.6235883351833	67.8156699548402	67.9136540562196	66.8320028225067	67.8701248282146	69.9999114225551	69.5935872068558	68.2515098537035	67.1239232990403	65.9363539376167	70.4838105616386	72.1939706336874	19080010
0.001388	68.114584533442	70.1220788306199	67.2844577012551	67.413376408065	66.3866724970805	67.394541527516	69.5164953711955	69.110539740596	67.7739135653273	66.650939389054	65.4354780074214	70.008235912024	71.7182909934319	19080010
0.001548	67.6261946267758	69.6185791256902	66.74995166371	66.9101810211986	65.9380243992992	66.9140482241625	69.0244277238299	68.6235974684302	67.2937839595354	66.1739068751153	64.9323277813317	69.5304426616603	71.2406267829801	19080010
0.001727	67.1308604291343	69.1092685601568	66.2087222131678	66.400783125261	65.4839639259328	66.4253031672496	68.5211480046575	68.1269914165814	66.8070871262562	65.6896934730029	64.4230060808774	69.0483394844947	70.7577844630776	19080010
0.001927	66.6287329308539	68.5937999508332	65.6623794085946	65.8861569082859	65.0254620236741	65.9289880875872	68.0063104604817	67.6196833848545	66.3143879240277	65.1984440079613	63.9081349164853	68.5603396735019	70.2689679792571	19080010
0.002149	66.1229544163848	68.0768329725586	65.1152026901657	65.3685468785203	64.564305835037	65.4279723290969	67.4834989263888	67.1055924877196	65.8177551878187	64.7032387552703	63.391096926865	68.0695815868684	69.7772587600377	19080010
0.002397	65.6099330455041	67.5539384964041	64.5633138433264	64.845610796295	64.0970860913872	64.9190974870465	66.9492750002015	66.579834139068	65.3126458862092	64.2000293802515	62.8682609915387	67.573663116472	69.279887846713	19080010
0.002674	65.0898596441032	67.0255249528273	64.0073390321639	64.3185511367208	63.623484879867	64.401397099235	66.4030506168975	66.0430498930978	64.7987014798602	63.6885817691155	62.3406105474314	67.0735226740849	68.7769609446804	19080010
0.002983	64.5633788313354	66.4923426153751	63.4479960510994	63.7873983515328	63.1453046147512	63.8765080063414	65.8458725802434	65.4959911724271	64.2759099137441	63.1700669944605	61.80835921915	66.5683902861851	68.2686810127558	19080010
0.003327	64.0317026540618	65.9569002794724	62.886135991927	63.2541142768146	62.6628761040605	63.3453661669083	65.2806059457119	64.9388962842645	63.7447707245011	62.6449856207971	61.2728373695972	66.0596003584229	67.756629645704	19080010
