E	pcent	pcent06	pcent07	pcent08	pcent09	pcent10	Sgeo
0.001	49.4663036131404	45.5306550549381	52.7581949618375	52.8333053151667	49.1342240214834	28.3600500811269	6100532
0.001115	48.9364907480253	44.9976698035977	52.2278049113271	52.3096471374829	48.5923662736682	27.8607177699628	6100532
0.001244	48.400943767575	44.4594655091656	51.6920114576699	51.7767287538349	48.046732738929	27.3639449674174	6100532
0.001388	47.8607479113258	43.9185384858582	51.152170914637	51.2382569674279	47.4949308011287	26.8660017205133	6100532
0.001548	47.3202161816154	43.3780572531906	50.6118862423388	50.7012695106438	46.9394617694589	26.3703810391771	6100532
0.001727	46.7747004963723	42.8350445109579	50.0657598549031	50.1578397261046	46.3784294306646	25.8773414754771	6100532
0.001927	46.2239061357818	42.2885131024154	49.513371323356	49.6105840883243	45.8099292390918	25.3798213851975	6100532
0.002149	45.6713064943054	41.7385842351092	48.9607433695879	49.0618431694675	45.238691406195	24.8803433971724	6100532
0.002397	45.1115557886271	41.1825426299082	48.4023831713819	48.5052704227582	44.6594813604286	24.3716995722962	6100532
0.002674	44.5483941126968	40.6265858713021	47.838219353385	47.9450490472755	44.0747893153949	23.8708483517881	6100532
0.002983	43.9806764961553	40.0646531186159	47.2709087391918	47.3790132276302	43.4847838646003	23.3736783918293	6100532
0.003327	43.4091359497076	39.498952743127	46.7007928255183	46.8058079165047	42.8930429587829	22.8776012531425	6100532
0.003712	42.8306024521901	38.9274534827917	46.1231484587371	46.2237754182277	42.2955198160908	22.3785051646716	6100532
0.00414	42.2489517447521	38.3573267726784	45.542824314021	45.6362156489744	41.6926487596561	21.8846972608987	6100532
0.004618	41.6605121202123	37.784071496031	44.9569653720801	45.0400207136829	41.0801993198591	21.3904930447034	6100532
0.005152	41.0665629571439	37.2101545262535	44.3645800991314	44.4375869745675	40.4599271349737	20.895600978779	6100532
0.005747	40.4683316246264	36.63763364191	43.7681463413137	43.8293791773982	39.8321597399855	20.4014256223229	6100532
0.006411	39.8639297237036	36.0621180487619	43.1702876689606	43.2108239926938	39.1945780476743	19.9099730276628	6100532
0.007151	39.253646671835	35.4847466892997	42.5694684197857	42.582480342645	38.5489636714411	19.4192178195079	6100532
0.007977	38.6381372846453	34.9075193811497	41.9628826667204	41.9498375781446	37.892387238955	18.9301413772756	6100532
0.008898	38.016932946647	34.3273020087741	41.353892347077	41.3128556225144	37.2225140004888	18.4384642185867	6100532
0.009925	37.3894885135664	33.7375621361608	40.7440340596147	40.668014188365	36.5443976297531	17.9437372080472	6100532
0.011072	36.7553717103824	33.1482779348655	40.1271129947152	40.0158408580054	35.8552343544212	17.4463639863332	6100532
0.01235	36.1154232204851	32.5547837738293	39.5035583595275	39.3563844021582	35.1578573324881	16.9608679122552	6100532
0.013777	35.4654532222288	31.9521008639172	38.8726202930396	38.6859077366587	34.4454777118064	16.4786408770233	6100532
0.015368	34.8068390708738	31.3412616939843	38.2387499487319	37.9995588342433	33.724654411777	16.0003896181313	6100532
0.017142	34.1420457159903	30.7215733457314	37.6009520957874	37.3031539257709	32.9980115908933	15.5339152116218	6100532
0.019122	33.4698083618482	30.0951231274881	36.9581433394217	36.5948962649538	32.2625664699955	15.0779332369749	6100532
0.021331	32.7889993897209	29.4626033172464	36.307941131011	35.8741759873785	31.5183328295792	14.623700694665	6100532
0.023794	32.1012106427072	28.8300087699372	35.6515669328969	35.1433685216687	30.7649321548199	14.1658810863285	6100532
0.026542	31.4078259023504	28.198216822158	34.9862695077989	34.4042926321286	30.0059962939879	13.7137703037759	6100532
0.029607	30.7069030752973	27.5608665179905	34.3134586369887	33.6575367038195	29.2349677213161	13.2692206614438	6100532
0.033026	29.9990589852497	26.9180922024482	33.6297617286703	32.9037715855028	28.4565951770422	12.8338266635188	6100532
